colony_id,sample_date,location,tropi_infest200,tropi_sticky,tropi_powsug,tropi_alc,tropi_bump,varroa_infest200,varroa_powsug,varroa_alc
AUB_B01,1/21/24,CMU,4,7,0,0,0,0,2,0
AUB_B02,1/21/24,CMU,12,7,1,0,3,1,2,3
AUB_B03,1/21/24,CMU,5,25,5,1,5,1,6,5
AUB_B04,1/21/24,CMU,10,8,1,2,4,0,1,0
AUB_B05,1/21/24,CMU,2,3,0,0,2,1,1,4
AUB_B06,1/21/24,CMU,4,1,0,0,1,3,1,7
AUB_B07,1/21/24,CMU,74,139,9,NA,2,1,0,NA
AUB_B09,1/21/24,CMU,3,18,2,1,2,0,3,4
AUB_B10,1/21/24,CMU,2,3,0,0,1,3,12,6
AUB_B11,1/21/24,CMU,53,750,25,29,99,1,5,10
AUB_B12,1/21/24,CMU,23,29,0,4,2,1,1,2
AUB_B13,1/21/24,CMU,5,9,0,1,3,18,54,57
AUB_B14,1/22/24,CMU,2,3,0,0,0,1,7,2
AUB_B15,1/22/24,CMU,15,24,2,NA,2,106,195,NA
AUB_B16,1/22/24,CMU,11,81,1,1,8,2,2,4
AUB_B17,1/22/24,CMU,53,57,6,NA,2,4,18,NA
AUB_B18,1/22/24,CMU,8,67,0,0,5,2,4,4
AUB_B19,1/22/24,CMU,0,11,0,0,0,1,4,4
AUB_B20,1/22/24,CMU,0,4,0,0,0,2,2,1
AUB_B21,1/22/24,CMU,4,18,0,0,2,3,5,8
AUB_B22,1/22/24,CMU,40,69,6,4,15,18,46,46
AUB_B23,1/22/24,CMU,54,137,1,1,6,2,12,7
AUB_B24,1/22/24,CMU,8,12,0,2,4,0,0,1
AUB_B25,1/22/24,CMU,34,20,1,0,18,11,25,18
AUB_B27,1/23/24,CMU,8,14,0,0,1,5,25,22
AUB_B28,1/23/24,CMU,11,25,0,0,3,16,35,21
AUB_B29,1/23/24,CMU,4,11,0,0,0,1,6,3
AUB_B30,1/23/24,CMU,1,2,0,0,0,1,3,3
AUB_B31,1/23/24,CMU,5,9,0,0,0,0,1,0
