colony_id,sample_date,location,fob,queen_status,brd_pattern,tropi_1_50,tropi_51_100,tropi_101_150,tropi_151_200,tropi_infest200,tropi_sticky,tropi_powsug,tropi_alc,tropi_bump,varroa_infest200,varroa_powsug,varroa_alc,sample_date,date_sticky_in,date_sticky_pull,date_powsug,date_alc,date_bump
AUB_B01,1/21/24,CMU,3,QS,3,3,1,0,0,4,7,0,0,0,0,2,0,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/26/24
AUB_B02,1/21/24,CMU,1.5,QS,1,3,2,5,2,12,7,1,0,3,1,2,3,1/21/24,1/24/24,1/27/24,1/30/24,1/26/24,1/30/24
AUB_B03,1/21/24,CMU,2,QS,2,2,3,0,0,5,25,5,1,5,1,6,5,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/30/24
AUB_B04,1/21/24,CMU,4,QS,3,2,4,1,3,10,8,1,2,4,0,1,0,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/26/24
AUB_B05,1/21/24,CMU,4.5,QS,2,1,1,0,0,2,3,0,0,2,1,1,4,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/30/24
AUB_B06,1/21/24,CMU,4.5,QS,3,1,0,1,2,4,1,0,0,1,3,1,7,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/30/24
AUB_B07,1/21/24,CMU,3,QR,1,8,27,17,22,74,139,9,NA,2,1,0,NA,1/21/24,1/24/24,1/27/24,1/30/24,NA,1/30/24
AUB_B09,1/21/24,CMU,4,QS,4,1,0,2,0,3,18,2,1,2,0,3,4,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/30/24
AUB_B10,1/21/24,CMU,4,QS,3,0,1,0,1,2,3,0,0,1,3,12,6,1/21/24,1/24/24,1/27/24,1/26/24,1/26/24,1/30/24
AUB_B11,1/21/24,CMU,5,QR,3,14,15,10,14,53,750,25,29,99,1,5,10,1/21/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B12,1/21/24,CMU,4.5,QS,3,9,8,2,4,23,29,0,4,2,1,1,2,1/21/24,1/24/24,1/27/24,1/30/24,1/30/24,1/26/24
AUB_B13,1/21/24,CMU,2.5,QS,2,0,4,1,0,5,9,0,1,3,18,54,57,1/21/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B14,1/22/24,CMU,2.5,QS,2,0,1,0,1,2,3,0,0,0,1,7,2,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B15,1/22/24,CMU,2.5,QS,1,6,6,2,1,15,24,2,NA,2,106,195,NA,1/22/24,1/24/24,1/27/24,1/30/24,NA,1/30/24
AUB_B16,1/22/24,CMU,5.5,QR,5,5,3,1,2,11,81,1,1,8,2,2,4,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B17,1/22/24,CMU,3.5,QR,1,8,9,19,17,53,57,6,NA,2,4,18,NA,1/22/24,1/24/24,1/27/24,1/30/24,NA,1/26/24
AUB_B18,1/22/24,CMU,5,QR,3,3,2,1,2,8,67,0,0,5,2,4,4,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B19,1/22/24,CMU,3.5,QS,3,0,0,0,0,0,11,0,0,0,1,4,4,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B20,1/22/24,CMU,3,QS,3,0,0,0,0,0,4,0,0,0,2,2,1,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B21,1/22/24,CMU,4.5,QR,5,1,0,0,3,4,18,0,0,2,3,5,8,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B22,1/22/24,CMU,3,QR,1,8,10,12,10,40,69,6,4,15,18,46,46,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B23,1/22/24,CMU,4.5,QS,2,13,15,12,14,54,137,1,1,6,2,12,7,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B24,1/22/24,CMU,5,QS,5,2,5,1,0,8,12,0,2,4,0,0,1,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B25,1/22/24,CMU,3,QS,1,10,11,8,5,34,20,1,0,18,11,25,18,1/22/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B27,1/23/24,CMU,4,QS,2,2,3,1,2,8,14,0,0,1,5,25,22,1/23/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B28,1/23/24,CMU,3.5,QS,3,2,1,6,2,11,25,0,0,3,16,35,21,1/23/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B29,1/23/24,CMU,4.5,QS,3,0,1,1,2,4,11,0,0,0,1,6,3,1/23/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B30,1/23/24,CMU,4,QS,3,0,0,0,1,1,2,0,0,0,1,3,3,1/23/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
AUB_B31,1/23/24,CMU,5.5,QS,3,3,0,1,1,5,9,0,0,0,0,1,0,1/23/24,1/24/24,1/27/24,1/30/24,1/30/24,1/30/24
